                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8521,                 3.2443,                 3.6977,                0.00024,                0.00794,                0.00021,                  7e-05,                 4.7074,                 4.2681,                 4.2135,             0.00046575,             0.00046575,             0.00046575
                      2,                  2.494,                 2.0652,                 2.6347,                0.00027,                0.01111,                0.00017,                  5e-05,                  4.739,                 4.2933,                 4.2621,             0.00093586,             0.00093586,             0.00093586
                      3,                 2.1533,                 1.8086,                 2.2039,                0.28274,                  0.359,                0.22587,                0.07931,                 2.6759,                 2.0154,                 2.7081,              0.0013997,              0.0013997,              0.0013997
                      4,                 1.9749,                 1.6546,                 1.9581,                0.30161,                0.41695,                0.34455,                0.13654,                  2.181,                 1.7556,                 2.2298,              0.0014007,              0.0014007,              0.0014007
                      5,                 1.8579,                 1.5316,                 1.8138,                0.37988,                 0.5619,                0.48481,                0.24733,                 1.7509,                 1.5694,                 1.8013,              0.0013913,              0.0013913,              0.0013913
                      6,                  1.754,                 1.4135,                 1.6838,                0.43238,                0.54493,                0.50706,                0.25508,                 1.7521,                 1.4161,                 1.7574,              0.0013818,              0.0013818,              0.0013818
                      7,                 1.6504,                 1.3292,                  1.591,                0.47277,                0.62458,                 0.5781,                0.31871,                 1.5922,                 1.3002,                 1.6232,              0.0013724,              0.0013724,              0.0013724
                      8,                    1.6,                 1.2634,                 1.5437,                0.40554,                0.60435,                0.52594,                0.29106,                 1.5249,                  1.543,                 1.5995,               0.001363,               0.001363,               0.001363
                      9,                 1.5872,                 1.2424,                 1.4969,                0.56858,                 0.6478,                0.63862,                0.36034,                 1.5512,                 1.2154,                 1.5846,              0.0013535,              0.0013535,              0.0013535
                     10,                 1.5142,                 1.1823,                 1.4585,                0.69927,                0.72481,                0.74624,                0.47061,                 1.3538,                 1.0123,                 1.4347,              0.0013441,              0.0013441,              0.0013441
                     11,                 1.4929,                 1.1387,                 1.4397,                0.61882,                0.70937,                0.75106,                0.46934,                 1.4175,                 1.0843,                 1.4523,              0.0013347,              0.0013347,              0.0013347
                     12,                 1.4587,                 1.0933,                 1.4019,                0.66364,                0.68026,                0.71766,                0.46622,                 1.3302,                 1.0129,                 1.3866,              0.0013253,              0.0013253,              0.0013253
                     13,                 1.4338,                 1.0753,                 1.3765,                 0.7025,                0.76104,                0.77199,                0.49239,                 1.3682,                0.93822,                 1.3891,              0.0013158,              0.0013158,              0.0013158
                     14,                 1.4212,                 1.0381,                 1.3651,                0.65265,                0.73756,                0.75081,                0.47376,                   1.35,                 1.0006,                 1.3949,              0.0013064,              0.0013064,              0.0013064
                     15,                 1.3791,                 1.0069,                 1.3399,                0.73756,                0.77386,                0.80691,                0.52171,                 1.3498,                0.89765,                 1.3949,               0.001297,               0.001297,               0.001297
                     16,                 1.3678,                0.99846,                 1.3319,                0.67653,                0.78138,                0.78202,                0.51624,                 1.2789,                0.89383,                  1.337,              0.0012875,              0.0012875,              0.0012875
                     17,                 1.3463,                0.97035,                 1.2998,                0.65776,                0.77451,                0.79207,                0.52355,                 1.2881,                0.95244,                 1.3443,              0.0012781,              0.0012781,              0.0012781
                     18,                 1.3435,                0.95778,                 1.3073,                0.75115,                0.79445,                0.81208,                0.53755,                 1.2862,                0.82835,                 1.3316,              0.0012687,              0.0012687,              0.0012687
                     19,                 1.3189,                0.93775,                  1.291,                0.70187,                0.78827,                0.81781,                0.54885,                 1.2221,                0.81979,                 1.2967,              0.0012592,              0.0012592,              0.0012592
                     20,                 1.3186,                 0.9247,                 1.2936,                0.73466,                0.79246,                0.83689,                0.57666,                 1.2147,                0.79391,                 1.2839,              0.0012498,              0.0012498,              0.0012498
                     21,                 1.2981,                0.88264,                  1.271,                0.77604,                0.77057,                0.84759,                0.57491,                 1.2374,                0.77325,                 1.2952,              0.0012404,              0.0012404,              0.0012404
                     22,                 1.2919,                0.89653,                 1.2747,                0.74531,                0.81734,                0.82991,                0.54178,                 1.3221,                0.78615,                 1.3612,              0.0012309,              0.0012309,              0.0012309
                     23,                 1.2808,                0.89338,                 1.2534,                0.74213,                 0.7872,                0.82846,                0.56551,                 1.2302,                0.81482,                 1.2925,              0.0012215,              0.0012215,              0.0012215
                     24,                 1.2736,                0.86824,                 1.2631,                0.78583,                0.81761,                 0.8744,                0.60018,                 1.1928,                0.73247,                 1.2661,              0.0012121,              0.0012121,              0.0012121
                     25,                 1.2609,                0.84339,                 1.2529,                 0.8016,                0.77629,                0.85329,                0.58909,                 1.1923,                0.78879,                 1.2621,              0.0012026,              0.0012026,              0.0012026
                     26,                 1.2651,                  0.853,                 1.2622,                0.78498,                0.85846,                0.88376,                0.61079,                 1.2243,                0.71005,                 1.2764,              0.0011932,              0.0011932,              0.0011932
                     27,                 1.2403,                0.82235,                 1.2352,                0.81342,                0.81394,                0.88177,                0.60821,                  1.218,                0.74258,                 1.2712,              0.0011838,              0.0011838,              0.0011838
                     28,                 1.2473,                0.81316,                 1.2359,                0.76854,                0.79952,                0.81863,                0.56961,                 1.1593,                0.79098,                 1.2517,              0.0011744,              0.0011744,              0.0011744
                     29,                 1.2512,                0.82305,                 1.2498,                0.77045,                0.86414,                0.86582,                0.59983,                 1.1605,                0.71331,                  1.243,              0.0011649,              0.0011649,              0.0011649
                     30,                 1.2519,                0.80421,                 1.2337,                0.79676,                0.86838,                0.89242,                0.62151,                 1.1716,                0.70357,                 1.2404,              0.0011555,              0.0011555,              0.0011555
                     31,                  1.226,                0.77154,                  1.225,                0.79815,                0.82882,                0.85995,                0.59637,                 1.1874,                0.70429,                  1.257,              0.0011461,              0.0011461,              0.0011461
                     32,                 1.2305,                0.76206,                  1.226,                0.77809,                0.77983,                0.82959,                0.58063,                 1.1515,                0.73606,                 1.2345,              0.0011366,              0.0011366,              0.0011366
                     33,                  1.197,                0.77837,                 1.2049,                  0.825,                0.82002,                0.88786,                0.62338,                 1.1226,                0.68731,                 1.2252,              0.0011272,              0.0011272,              0.0011272
                     34,                 1.1925,                0.76188,                 1.2101,                0.86271,                0.83283,                0.89878,                0.62035,                 1.1803,                0.68234,                 1.2523,              0.0011178,              0.0011178,              0.0011178
                     35,                 1.2002,                0.75547,                 1.2138,                0.80357,                0.87074,                0.89693,                0.62792,                 1.1516,                0.66616,                 1.2279,              0.0011083,              0.0011083,              0.0011083
                     36,                 1.1836,                0.74388,                 1.2016,                 0.8155,                0.89572,                0.91302,                0.65497,                  1.116,                0.65038,                 1.2073,              0.0010989,              0.0010989,              0.0010989
                     37,                 1.1737,                 0.7352,                 1.1976,                0.80587,                0.89294,                 0.9249,                0.65432,                  1.147,                0.62953,                 1.2272,              0.0010895,              0.0010895,              0.0010895
                     38,                 1.1783,                0.71909,                 1.1924,                0.86318,                0.86125,                0.91284,                0.64956,                 1.1391,                0.63846,                 1.2222,                0.00108,                0.00108,                0.00108
                     39,                 1.1828,                 0.7242,                 1.2024,                0.75983,                0.87844,                0.88492,                0.63532,                 1.1411,                0.69749,                  1.221,              0.0010706,              0.0010706,              0.0010706
                     40,                 1.1476,                0.70349,                  1.173,                0.85843,                0.88422,                0.91369,                0.65485,                 1.1243,                 0.6305,                 1.2117,              0.0010612,              0.0010612,              0.0010612
                     41,                 1.1644,                0.70469,                 1.1887,                  0.837,                0.83983,                0.90211,                0.63714,                 1.1461,                0.65604,                 1.2211,              0.0010517,              0.0010517,              0.0010517
                     42,                 1.1607,                0.72496,                 1.1892,                0.87465,                0.84892,                0.91945,                0.65117,                 1.1397,                0.63567,                 1.2229,              0.0010423,              0.0010423,              0.0010423
                     43,                 1.1584,                0.71286,                 1.1814,                0.83523,                0.88927,                0.91927,                0.65989,                 1.1127,                0.63085,                 1.2002,              0.0010329,              0.0010329,              0.0010329
                     44,                 1.1549,                0.69325,                 1.1793,                0.85198,                0.86378,                0.92397,                0.65213,                 1.1262,                0.63271,                   1.21,              0.0010234,              0.0010234,              0.0010234
                     45,                 1.1437,                0.68879,                  1.178,                0.86573,                0.89103,                0.93668,                0.66874,                 1.1053,                0.58624,                 1.2009,               0.001014,               0.001014,               0.001014
                     46,                 1.1419,                0.67343,                  1.176,                0.87297,                0.89887,                0.94141,                 0.6779,                 1.1047,                0.58505,                 1.1993,              0.0010046,              0.0010046,              0.0010046
                     47,                 1.1265,                0.68649,                 1.1738,                0.86176,                0.87021,                0.93184,                 0.6697,                 1.1284,                0.60564,                 1.2127,             0.00099516,             0.00099516,             0.00099516
                     48,                 1.1271,                0.66165,                   1.15,                0.91273,                0.89099,                0.94309,                0.68547,                  1.104,                0.56972,                 1.1962,             0.00098572,             0.00098572,             0.00098572
