                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5494,                 2.8096,                 3.4699,                0.00035,                0.00847,                 0.0002,                  2e-05,                 4.8116,                 4.0292,                  4.192,             0.00054949,             0.00054949,             0.00054949
                      2,                 2.2654,                  1.749,                 2.3644,                 0.4812,                0.57651,                0.52742,                0.23361,                 2.1266,                  1.555,                 2.2383,              0.0010979,              0.0010979,              0.0010979
                      3,                 2.0616,                 1.5086,                  2.015,                0.52066,                0.43809,                0.44851,                0.19599,                 2.1215,                 1.7841,                  2.154,              0.0016389,              0.0016389,              0.0016389
                      4,                 1.8956,                 1.4137,                 1.8362,                0.53462,                0.70652,                0.68357,                0.33231,                 1.7716,                 1.3598,                 1.7624,               0.001634,               0.001634,               0.001634
                      5,                 1.7558,                 1.2871,                 1.6986,                0.59603,                0.57601,                0.64564,                0.31656,                   1.69,                 1.3535,                 1.7012,               0.001623,               0.001623,               0.001623
                      6,                 1.6558,                 1.1788,                 1.5866,                0.66379,                0.69808,                0.72971,                 0.4019,                 1.7496,                 1.2141,                 1.7011,               0.001612,               0.001612,               0.001612
                      7,                 1.6079,                 1.1133,                 1.5389,                0.71304,                0.73312,                0.77789,                0.47833,                 1.4898,                 1.0468,                 1.5252,               0.001601,               0.001601,               0.001601
                      8,                 1.5516,                 1.0431,                 1.4994,                0.76571,                0.82038,                0.88182,                0.54251,                 1.3976,                0.93091,                  1.465,                0.00159,                0.00159,                0.00159
                      9,                  1.521,                0.99745,                 1.4555,                0.76137,                0.84021,                0.89454,                0.58164,                  1.409,                0.92652,                 1.4291,               0.001579,               0.001579,               0.001579
                     10,                 1.4521,                0.94803,                 1.3929,                0.83796,                0.82917,                0.89674,                0.60023,                 1.3273,                0.83486,                 1.3824,               0.001568,               0.001568,               0.001568
                     11,                 1.4144,                0.89645,                 1.3834,                0.87461,                0.87513,                0.92191,                 0.6152,                 1.3566,                0.79141,                 1.3708,               0.001557,               0.001557,               0.001557
                     12,                 1.4007,                0.89083,                 1.3609,                0.85906,                0.87079,                0.92827,                0.63579,                 1.2831,                0.73831,                  1.326,               0.001546,               0.001546,               0.001546
                     13,                 1.3796,                 0.8761,                 1.3565,                0.86197,                0.87475,                0.92433,                0.61784,                  1.314,                0.75027,                 1.3633,               0.001535,               0.001535,               0.001535
                     14,                 1.3711,                0.84387,                 1.3393,                 0.8921,                0.87968,                0.93747,                0.65483,                 1.2402,                0.70628,                    1.3,               0.001524,               0.001524,               0.001524
                     15,                 1.3541,                0.81194,                 1.3293,                0.85937,                 0.8804,                 0.9233,                  0.637,                  1.254,                0.71716,                  1.313,               0.001513,               0.001513,               0.001513
                     16,                 1.3446,                0.78736,                 1.3208,                0.85681,                0.87458,                0.92818,                0.64982,                 1.2254,                0.71249,                 1.2869,               0.001502,               0.001502,               0.001502
                     17,                 1.3492,                0.83239,                 1.3126,                0.88764,                0.90311,                0.95106,                0.64704,                 1.2608,                0.70884,                 1.3242,               0.001491,               0.001491,               0.001491
                     18,                 1.3147,                0.75807,                  1.307,                0.91522,                0.93467,                0.96641,                0.68892,                 1.1912,                0.61784,                 1.2655,                0.00148,                0.00148,                0.00148
                     19,                  1.306,                0.76013,                 1.2924,                0.89696,                 0.8907,                0.95325,                0.66429,                 1.2541,                0.65949,                 1.3071,               0.001469,               0.001469,               0.001469
                     20,                 1.2915,                0.72431,                 1.2954,                0.90941,                0.90413,                0.95444,                 0.6948,                 1.1447,                0.60807,                 1.2367,               0.001458,               0.001458,               0.001458
                     21,                 1.2898,                0.73151,                 1.2844,                0.89798,                0.90716,                 0.9488,                0.68004,                  1.175,                0.62511,                 1.2548,               0.001447,               0.001447,               0.001447
                     22,                 1.2919,                0.74603,                 1.2833,                0.91784,                0.90313,                0.95501,                0.68474,                 1.1696,                0.62083,                 1.2513,               0.001436,               0.001436,               0.001436
                     23,                 1.2562,                 0.7145,                 1.2643,                0.92478,                0.93956,                0.96333,                0.69847,                 1.1692,                0.58585,                  1.238,               0.001425,               0.001425,               0.001425
                     24,                 1.2596,                0.71319,                 1.2615,                0.92167,                0.92771,                0.97266,                0.70765,                 1.1474,                0.58351,                 1.2352,              0.0014139,              0.0014139,              0.0014139
                     25,                 1.2569,                0.68673,                 1.2595,                0.93929,                0.93244,                0.96849,                0.70795,                 1.1672,                0.58181,                 1.2383,              0.0014029,              0.0014029,              0.0014029
                     26,                 1.2299,                0.68682,                 1.2467,                0.92688,                0.92342,                0.96792,                0.69584,                 1.2081,                0.59514,                 1.2747,              0.0013919,              0.0013919,              0.0013919
                     27,                 1.2433,                0.68159,                 1.2532,                0.92882,                0.92208,                0.96823,                  0.715,                 1.1507,                0.56003,                 1.2378,              0.0013809,              0.0013809,              0.0013809
                     28,                 1.2133,                0.66226,                 1.2315,                0.94029,                0.93198,                 0.9636,                0.71523,                 1.1253,                0.55595,                 1.2093,              0.0013699,              0.0013699,              0.0013699
