                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2181,                 2.4347,                 1.1394,                0.77272,                0.89091,                0.89686,                 0.6257,                   1.08,                 1.8401,                 1.0355,                 0.0001,                 0.0001,                 0.0001
                      2,                  1.086,                0.99337,                 1.0312,                 0.8637,                0.92727,                0.96075,                 0.6012,                   1.26,                 1.9548,                 1.0965,             0.00021782,             0.00021782,             0.00021782
                      3,                 1.1256,                0.92746,                 1.0449,                0.78834,                0.90909,                0.91855,                 0.6043,                 1.1893,                  1.461,                  1.125,             0.00033327,             0.00033327,             0.00033327
                      4,                 1.1547,                 0.8132,                 1.0505,                0.87719,                0.90908,                0.93784,                0.60422,                 1.2127,                 1.4376,                 1.1442,             0.00044634,             0.00044634,             0.00044634
                      5,                 1.0498,                0.80983,                 1.0769,                 0.8923,                0.90909,                0.94661,                0.62875,                  1.144,                  1.496,                  1.088,             0.00055703,             0.00055703,             0.00055703
                      6,                 1.1075,                0.86845,                  1.096,                0.86427,                0.78182,                0.82698,                0.51678,                 1.2142,                 1.7539,                 1.1742,             0.00066535,             0.00066535,             0.00066535
                      7,                 1.1724,                0.83784,                 1.0995,                0.57147,                0.70321,                0.64669,                0.40657,                 1.3997,                 4.3814,                 1.4455,             0.00077129,             0.00077129,             0.00077129
                      8,                 1.1816,                0.90616,                 1.1522,                0.13339,                0.58182,                0.39145,                0.24997,                 1.5056,                 7.0378,                 1.5164,             0.00087486,             0.00087486,             0.00087486
                      9,                 1.1727,                 0.8617,                 1.1727,                0.78402,                0.74545,                 0.8039,                0.51516,                 1.2434,                 2.8459,                 1.2897,             0.00097605,             0.00097605,             0.00097605
                     10,                 1.1021,                0.92499,                 1.1147,                0.72897,                0.78182,                 0.7954,                 0.5156,                 1.3334,                 1.4888,                 1.3059,              0.0010749,              0.0010749,              0.0010749
                     11,                 1.1073,                0.86477,                 1.0926,                0.46188,                0.79595,                0.52244,                0.31454,                 1.3609,                 1.8103,                 1.3215,              0.0011713,              0.0011713,              0.0011713
                     12,                 1.1282,                0.78572,                  1.137,                0.34746,                0.74545,                0.43094,                0.25681,                 1.4595,                 4.7016,                 1.3862,              0.0012654,              0.0012654,              0.0012654
                     13,                 1.1364,                 0.8684,                 1.1139,                 0.0678,                0.50909,                  0.048,                0.02673,                 1.7029,                 22.836,                 2.3263,               0.001357,               0.001357,               0.001357
                     14,                 1.1032,                 0.7456,                  1.097,                0.02901,                0.49091,                0.02061,                0.00844,                 2.3906,                 58.276,                 4.4459,              0.0014464,              0.0014464,              0.0014464
                     15,                  1.109,                0.79307,                 1.1188,                0.02901,                0.49091,                0.02061,                0.00844,                 2.3906,                 58.276,                 4.4459,              0.0015333,              0.0015333,              0.0015333
                     16,                 1.2133,                0.92617,                 1.1652,                0.01715,                0.29091,                0.01142,                0.00546,                 2.4589,                 74.726,                 3.6617,              0.0016179,              0.0016179,              0.0016179
                     17,                 1.2179,                0.91832,                 1.1723,                0.00067,                0.01818,                0.00029,                  3e-05,                  2.939,                 761.55,                 6.3786,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.1661,                0.79585,                 1.1509,                0.00067,                0.01818,                0.00029,                  3e-05,                 4.1725,                 3931.6,                 34.371,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.0935,                0.77724,                 1.0838,                0.00067,                0.01818,                0.00029,                  3e-05,                 4.1725,                 3931.6,                 34.371,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.1253,                0.75465,                 1.1134,                0.00056,                0.01818,                0.00028,                  3e-05,                 3.2842,                 2023.7,                 39.979,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0846,                0.76627,                 1.0788,                0.00341,                0.05455,                0.00164,                0.00057,                 2.4476,                 578.91,                 25.257,               0.001604,               0.001604,               0.001604
                     22,                  1.171,                0.77228,                 1.1296,                0.01241,                0.32727,                0.02305,                0.00981,                 2.0333,                 219.09,                 7.4677,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.1498,                0.74428,                 1.1322,                0.01241,                0.32727,                0.02305,                0.00981,                 2.0333,                 219.09,                 7.4677,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.1954,                0.87006,                 1.1408,                0.01214,                0.09091,                0.00275,                0.00062,                 2.9621,                 331.63,                 5.5437,              0.0015446,              0.0015446,              0.0015446
                     25,                  1.195,                0.85148,                 1.1312,                0.00489,                0.07273,                 0.0023,                 0.0009,                 2.6121,                  541.2,                 4.8052,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.1454,                0.78277,                 1.1359,                0.01906,                0.52727,                0.01556,                0.00503,                 2.3928,                 278.88,                 3.1233,               0.001505,               0.001505,               0.001505
                     27,                 1.1571,                0.82559,                 1.1766,                0.01906,                0.52727,                0.01556,                0.00503,                 2.3928,                 278.88,                 3.1233,              0.0014852,              0.0014852,              0.0014852
                     28,                  1.165,                0.78203,                  1.132,                0.18579,                0.40661,                0.10802,                0.05408,                 2.1746,                  5.407,                  2.186,              0.0014654,              0.0014654,              0.0014654
